Frame,Time_s,Bleach_ROI_Mean,Reference_ROI_Mean,Background_Mean,Double_Normalized,Full_Scale_Normalized
0,0.0000,8.1358,6.6496,0.5806,0.355682,0.000000
1,0.7179,12.1888,6.5337,0.5772,0.557141,0.312669
2,1.4358,14.0908,6.5412,0.6082,0.647605,0.453073
3,2.1536,14.9424,6.6072,0.6981,0.680892,0.504735
4,2.8715,15.3192,6.5717,0.6845,0.702898,0.538888
