ROI_Type,Y,X
Bleach,194,209
Bleach,194,210
Bleach,194,211
Bleach,194,212
Bleach,194,213
Bleach,194,214
Bleach,194,215
Bleach,194,216
Bleach,194,217
Bleach,195,206
Bleach,195,207
Bleach,195,208
Bleach,195,209
Bleach,195,210
Bleach,195,211
Bleach,195,212
Bleach,195,213
Bleach,195,214
Bleach,195,215
Bleach,195,216
Bleach,195,217
Bleach,195,218
Bleach,196,207
Bleach,196,208
Bleach,196,209
Bleach,196,210
Bleach,196,211
Bleach,196,212
Bleach,196,213
Bleach,196,214
Bleach,196,215
Bleach,196,216
Bleach,196,217
Bleach,196,218
Bleach,196,219
Bleach,197,208
Bleach,197,209
Bleach,197,210
Bleach,197,211
Bleach,197,212
Bleach,197,213
Bleach,197,214
Bleach,197,215
Bleach,197,216
Bleach,197,217
Bleach,197,218
Bleach,197,219
Bleach,197,220
Bleach,198,207
Bleach,198,208
Bleach,198,209
Bleach,198,210
Bleach,198,211
Bleach,198,212
Bleach,198,213
Bleach,198,214
Bleach,198,215
Bleach,198,216
Bleach,198,217
Bleach,198,218
Bleach,198,219
Bleach,198,220
Bleach,198,221
Bleach,199,207
Bleach,199,208
Bleach,199,209
Bleach,199,210
Bleach,199,211
Bleach,199,212
Bleach,199,213
Bleach,199,214
Bleach,199,215
Bleach,199,216
Bleach,199,217
Bleach,199,218
Bleach,199,219
Bleach,199,220
Bleach,199,221
Bleach,199,222
Bleach,200,208
Bleach,200,209
Bleach,200,210
Bleach,200,211
Bleach,200,212
Bleach,200,213
Bleach,200,214
Bleach,200,215
Bleach,200,216
Bleach,200,217
Bleach,200,218
Bleach,200,219
Bleach,200,220
Bleach,200,221
Bleach,200,222
Bleach,200,223
Bleach,201,208
Bleach,201,209
Bleach,201,210
Bleach,201,211
Bleach,201,212
Bleach,201,213
Bleach,201,214
Bleach,201,215
Bleach,201,216
Bleach,201,217
Bleach,201,218
Bleach,201,219
Bleach,201,220
Bleach,201,221
Bleach,201,222
Bleach,201,223
Bleach,201,224
Bleach,202,208
Bleach,202,209
Bleach,202,210
Bleach,202,211
Bleach,202,212
Bleach,202,213
Bleach,202,214
Bleach,202,215
Bleach,202,216
Bleach,202,217
Bleach,202,218
Bleach,202,219
Bleach,202,220
Bleach,202,221
Bleach,202,222
Bleach,202,223
Bleach,203,208
Bleach,203,209
Bleach,203,210
Bleach,203,211
Bleach,203,212
Bleach,203,213
Bleach,203,214
Bleach,203,215
Bleach,203,216
Bleach,203,217
Bleach,203,218
Bleach,203,219
Bleach,203,220
Bleach,203,221
Bleach,203,222
Bleach,203,223
Bleach,203,224
Bleach,204,209
Bleach,204,210
Bleach,204,211
Bleach,204,212
Bleach,204,213
Bleach,204,214
Bleach,204,215
Bleach,204,216
Bleach,204,217
Bleach,204,218
Bleach,204,219
Bleach,204,220
Bleach,204,221
Bleach,204,222
Bleach,204,223
Bleach,204,224
Bleach,204,225
Bleach,205,210
Bleach,205,211
Bleach,205,212
Bleach,205,213
Bleach,205,214
Bleach,205,215
Bleach,205,216
Bleach,205,217
Bleach,205,218
Bleach,205,219
Bleach,205,220
