Sample,Mobile_Fraction_%,Immobile_Fraction_%,Tau_s,Half_Time_s,R_squared,Model,n_cells
100uM OA,55.64,44.36,0.8675,0.6013,0.9998,Single exponential,1
SCDi,54.47,45.53,1.8844,1.3062,0.9962,Single exponential,1
