ROI_Type,Y,X
Bleach,110,207
Bleach,110,208
Bleach,110,209
Bleach,110,210
Bleach,110,211
Bleach,110,212
Bleach,110,213
Bleach,110,214
Bleach,110,215
Bleach,110,216
Bleach,110,217
Bleach,110,218
Bleach,110,219
Bleach,110,220
Bleach,110,221
Bleach,110,222
Bleach,110,223
Bleach,110,224
Bleach,110,234
Bleach,110,235
Bleach,110,236
Bleach,111,162
Bleach,111,168
Bleach,111,169
Bleach,111,170
Bleach,111,171
Bleach,111,181
Bleach,111,182
Bleach,111,183
Bleach,111,184
Bleach,111,185
Bleach,111,186
Bleach,111,187
Bleach,111,193
Bleach,111,194
Bleach,111,195
Bleach,111,196
Bleach,111,197
Bleach,111,198
Bleach,111,199
Bleach,111,200
Bleach,111,201
Bleach,111,202
Bleach,111,203
Bleach,111,204
Bleach,111,205
Bleach,111,206
Bleach,111,207
Bleach,111,208
Bleach,111,209
Bleach,111,210
Bleach,111,211
Bleach,111,212
Bleach,111,213
Bleach,111,214
Bleach,111,215
Bleach,111,216
Bleach,111,217
Bleach,111,218
Bleach,111,219
Bleach,111,220
Bleach,111,221
Bleach,111,222
Bleach,111,223
Bleach,111,224
Bleach,111,225
Bleach,111,233
Bleach,111,234
Bleach,111,235
Bleach,111,236
Bleach,111,237
Bleach,112,161
Bleach,112,162
Bleach,112,163
Bleach,112,164
Bleach,112,167
Bleach,112,168
Bleach,112,169
Bleach,112,170
Bleach,112,171
Bleach,112,172
Bleach,112,180
Bleach,112,181
Bleach,112,182
Bleach,112,183
Bleach,112,184
Bleach,112,185
Bleach,112,186
Bleach,112,194
Bleach,112,195
Bleach,112,196
Bleach,112,197
Bleach,112,198
Bleach,112,199
Bleach,112,200
Bleach,112,201
Bleach,112,202
Bleach,112,203
Bleach,112,204
Bleach,112,205
Bleach,112,206
Bleach,112,207
Bleach,112,208
Bleach,112,209
Bleach,112,210
Bleach,112,211
Bleach,112,212
Bleach,112,213
Bleach,112,214
Bleach,112,215
Bleach,112,216
Bleach,112,217
Bleach,112,218
Bleach,112,219
Bleach,112,220
Bleach,112,221
Bleach,112,222
Bleach,112,223
Bleach,112,224
Bleach,112,225
Bleach,112,226
Bleach,112,228
Bleach,112,229
Bleach,112,230
Bleach,112,232
Bleach,112,233
Bleach,112,234
Bleach,112,235
Bleach,112,236
Bleach,113,160
Bleach,113,161
Bleach,113,162
Bleach,113,163
Bleach,113,164
Bleach,113,165
Bleach,113,166
Bleach,113,167
Bleach,113,168
Bleach,113,169
Bleach,113,170
Bleach,113,171
Bleach,113,172
Bleach,113,173
Bleach,113,179
Bleach,113,180
Bleach,113,181
Bleach,113,182
Bleach,113,183
Bleach,113,184
Bleach,113,185
Bleach,113,195
Bleach,113,196
Bleach,113,197
Bleach,113,198
Bleach,113,199
Bleach,113,200
Bleach,113,201
Bleach,113,202
Bleach,113,203
Bleach,113,204
Bleach,113,205
Bleach,113,206
Bleach,113,207
Bleach,113,208
Bleach,113,209
Bleach,113,210
Bleach,113,211
Bleach,113,212
Bleach,113,213
Bleach,113,214
Bleach,113,215
Bleach,113,216
Bleach,113,217
Bleach,113,218
Bleach,113,219
Bleach,113,220
Bleach,113,221
Bleach,113,222
Bleach,113,223
Bleach,113,224
Bleach,113,225
Bleach,113,226
Bleach,113,227
Bleach,113,228
Bleach,113,229
Bleach,113,230
Bleach,113,231
Bleach,113,232
Bleach,113,233
Bleach,113,234
Bleach,113,235
Bleach,114,160
Bleach,114,161
Bleach,114,162
Bleach,114,163
Bleach,114,164
Bleach,114,165
Bleach,114,166
Bleach,114,167
Bleach,114,168
Bleach,114,169
Bleach,114,170
Bleach,114,171
Bleach,114,172
Bleach,114,173
Bleach,114,174
Bleach,114,180
Bleach,114,181
Bleach,114,182
Bleach,114,183
Bleach,114,184
Bleach,114,194
Bleach,114,195
Bleach,114,196
Bleach,114,197
Bleach,114,198
Bleach,114,199
Bleach,114,200
Bleach,114,201
Bleach,114,202
Bleach,114,203
Bleach,114,204
Bleach,114,205
Bleach,114,206
Bleach,114,207
Bleach,114,208
Bleach,114,209
Bleach,114,210
Bleach,114,211
Bleach,114,212
Bleach,114,213
Bleach,114,214
Bleach,114,215
Bleach,114,216
Bleach,114,217
Bleach,114,218
Bleach,114,219
Bleach,114,220
Bleach,114,221
Bleach,114,222
Bleach,114,223
Bleach,114,224
Bleach,114,225
Bleach,114,226
Bleach,114,227
Bleach,114,228
Bleach,114,229
Bleach,114,230
Bleach,114,231
Bleach,114,232
Bleach,114,233
Bleach,114,234
Bleach,115,161
Bleach,115,162
Bleach,115,163
Bleach,115,164
Bleach,115,165
Bleach,115,166
Bleach,115,167
Bleach,115,168
Bleach,115,169
Bleach,115,170
Bleach,115,171
Bleach,115,172
Bleach,115,173
Bleach,115,174
Bleach,115,175
Bleach,115,181
Bleach,115,182
Bleach,115,183
Bleach,115,193
Bleach,115,194
Bleach,115,195
Bleach,115,196
Bleach,115,197
Bleach,115,198
Bleach,115,199
Bleach,115,200
Bleach,115,201
Bleach,115,202
Bleach,115,203
Bleach,115,204
Bleach,115,205
Bleach,115,206
Bleach,115,207
Bleach,115,208
Bleach,115,209
Bleach,115,210
Bleach,115,211
Bleach,115,212
Bleach,115,213
Bleach,115,214
Bleach,115,215
Bleach,115,216
Bleach,115,217
Bleach,115,218
Bleach,115,219
Bleach,115,220
Bleach,115,221
Bleach,115,222
Bleach,115,223
Bleach,115,224
Bleach,115,225
Bleach,115,226
Bleach,115,227
Bleach,115,228
Bleach,115,229
Bleach,115,230
Bleach,115,231
Bleach,115,232
Bleach,115,233
Bleach,116,162
Bleach,116,163
Bleach,116,164
Bleach,116,165
Bleach,116,166
